gender,Race,Education,totalyearlycompensation
Male,Asian,PhD,400000
Male,Two Or More,Bachelor's Degree,136000
Male,Asian,Bachelor's Degree,337000
Male,Asian,Master's Degree,222000
Male,White,Bachelor's Degree,187000
Male,Asian,Bachelor's Degree,310000
Male,Hispanic,Bachelor's Degree,113000
Male,Asian,Bachelor's Degree,98000
Male,Asian,Bachelor's Degree,180000
Male,Black,Some College,212000
Male,Hispanic,Highschool,210000
Male,Asian,Master's Degree,68000
Male,Asian,Master's Degree,142000
Male,Two Or More,Master's Degree,129000
Male,White,Master's Degree,242000
Male,Asian,Master's Degree,215000
Male,White,Highschool,365000
Female,Hispanic,Bachelor's Degree,135000
Male,Asian,Bachelor's Degree,173000
Male,Hispanic,Master's Degree,121000
Male,Asian,Bachelor's Degree,328000
Male,White,Master's Degree,300000
Male,Asian,Bachelor's Degree,46000
Female,Asian,Master's Degree,493000
Male,Asian,Master's Degree,190000
Male,Asian,Master's Degree,255000
Male,White,Bachelor's Degree,260000
Male,Asian,Bachelor's Degree,50000
Male,Asian,Master's Degree,74000
Male,Asian,Bachelor's Degree,30000
Female,White,Master's Degree,275000
Male,Asian,Master's Degree,287000
Male,Asian,Bachelor's Degree,189000
Male,White,PhD,550000
Male,Two Or More,PhD,232000
Male,White,Bachelor's Degree,135000
Male,Asian,Master's Degree,272000
Male,White,Bachelor's Degree,800000
Other,White,Bachelor's Degree,272000
Female,White,Bachelor's Degree,162000
Male,White,Bachelor's Degree,99000
Male,Asian,Bachelor's Degree,190000
Male,Asian,Bachelor's Degree,252000
Male,Asian,Bachelor's Degree,89000
Male,White,Master's Degree,381000
Female,White,Bachelor's Degree,176000
Male,Asian,Master's Degree,162000
Male,Asian,Master's Degree,289000
Male,Hispanic,Master's Degree,334000
Male,Asian,Master's Degree,107000
Male,Asian,Bachelor's Degree,275000
Female,White,Bachelor's Degree,155000
Male,Asian,Master's Degree,165000
Male,Asian,Master's Degree,215000
Male,Asian,Master's Degree,390000
Male,Asian,Bachelor's Degree,140000
Male,Asian,Master's Degree,227000
Male,White,Master's Degree,147000
Male,Asian,Master's Degree,233000
Male,Asian,PhD,354000
Female,Asian,Bachelor's Degree,156000
Female,White,Bachelor's Degree,150000
Male,Asian,Bachelor's Degree,194000
Male,White,Master's Degree,250000
Male,Asian,Master's Degree,167000
Male,White,Bachelor's Degree,128000
Male,Asian,Master's Degree,215000
Male,Asian,Master's Degree,185000
Male,Asian,Master's Degree,215000
Male,Black,Bachelor's Degree,165000
Female,White,Bachelor's Degree,73000
Male,Two Or More,Master's Degree,232000
Male,White,Bachelor's Degree,128000
Male,Asian,Master's Degree,275000
Male,Asian,Master's Degree,200000
Male,Asian,Master's Degree,215000
Male,Asian,Bachelor's Degree,146000
Male,Asian,Bachelor's Degree,151000
Female,Asian,Bachelor's Degree,190000
Other,Hispanic,Bachelor's Degree,112000
Male,Asian,Bachelor's Degree,25000
Male,White,Master's Degree,300000
Male,Black,Master's Degree,124000
Female,White,Bachelor's Degree,134000
Male,White,Bachelor's Degree,73000
Male,White,Bachelor's Degree,92000
Female,Asian,Master's Degree,298000
Male,White,Some College,230000
Male,Asian,Master's Degree,147000
Female,Black,Bachelor's Degree,265000
Male,Asian,Master's Degree,525000
Female,Asian,Master's Degree,220000
Male,Asian,Bachelor's Degree,334000
Female,Asian,Bachelor's Degree,232000
Male,White,Highschool,214000
Male,Hispanic,Bachelor's Degree,127000
Male,White,Bachelor's Degree,200000
Male,White,Bachelor's Degree,177000
Male,Asian,Master's Degree,177000
Male,White,Bachelor's Degree,84000
Male,Asian,Bachelor's Degree,400000
Male,White,Master's Degree,180000
Female,Hispanic,Bachelor's Degree,105000
Male,Asian,Bachelor's Degree,193000
Male,Hispanic,Bachelor's Degree,195000
Male,Asian,Master's Degree,225000
Male,Asian,Master's Degree,154000
Male,Asian,Bachelor's Degree,251000
Male,White,Bachelor's Degree,125000
Male,White,Some College,340000
Male,Asian,Master's Degree,165000
Male,Asian,Master's Degree,175000
Male,White,Master's Degree,88000
Male,White,Bachelor's Degree,281000
Male,Hispanic,Bachelor's Degree,135000
Male,Asian,Master's Degree,175000
Other,White,Bachelor's Degree,200000
Male,Asian,Bachelor's Degree,178000
Female,White,Bachelor's Degree,197000
Male,Hispanic,Bachelor's Degree,280000
Male,White,Master's Degree,56000
Male,Hispanic,Master's Degree,410000
Male,Asian,Master's Degree,265000
